lexeme_id,cluster,word
57408f89412af98111a2f87c0ab41b22,50,tu/tu
8414835cb39e4315146a59fefdd6d1c6,19,tem/ter
ecc3feb8e53ce936cef181dd54e7aaca,19,temos/ter
8d28ba0fa188f1847571467189846dda,51,tua/teu
4b3613233b3fede2e3e92ac2ef752bf6,69,leão/leão
2e327d99285380dc37273580705b9f85,12,vermelhas/vermelho
213ad43df9831b7b21ca1d7d79f5d107,42,a/o
41db134d8af1c0610b0d926d8a53d01a,51,nossas/nosso
6e820e73c9936c1c90e20a174f3dd1ad,76,<*sf>/traje
38ec3b04540c300424b556dee6e5dbe5,76,<*sf>/chapéu
6e39fa977508d7c2e5990cfddc80b2f7,-1,<*sf>/fantasia
b70b44f07b89cc7c5ac2626029a8952a,76,<*sf>/sapato
5377c84560aaf45988067be11302d1d8,76,<*sf>/agasalho
9efffbcb52dac1660ecdbf050ec6dfc6,76,<*sf>/camisa
540d7477d35047a1282a4075b9fbbc6e,36,<*sf>/vestir
3bd5d714e2fd898a573a4d1ae48b2791,68,<*sf>/relógio
5f3b7836361ebde92d6be000e1a5edf7,78,<*sf>/média
c51c3de41e1738fef6233bae874f327b,76,<*sf>/vestido
eca9cad5e0a5d96f5db19271e2e3e122,69,<*sf>/sandália
1fc183ee42e2f440f7ca318fc6c46e63,76,<*sf>/saia
3a898602c268f23d8acbeadacc9138be,-1,<*sf>/roupa
ea04a57b119113b097e3f4e1d4b8b7c1,79,<*sf>/pele
5ed55ec92cea6a460d958312209ea9f2,76,<*sf>/blusa
2d31fcb7e3781d53d073d32874dcb5f4,28,até/até
2cedf47e09d69a11efbcdc6e6a59a3c6,8,falam/falar
3b90f64dfa33918b221e0aabd249dc75,35,quando/quando
e44f3f20553dc6b97334e3c7cc574ced,21,ontem/ontem
e07321c588bfe75e4d09b4628517218a,6,quero/querer
e4a988b72c4445744c5f45dc888f16dc,46,disso/de
826a902bc42b3ac85918087164174ab0,35,desde/desde
753395dc03c63fbacfe2dded20751702,41,destas/de
a650b5f58f811a5360c1c94772525a83,-1,gosta/gostar
bc8e6758352ebb324f21a18adba222f7,77,sobre/sobre
b17ed5a2515440edd4b4feb6961e8557,55,exceto/exceto
3d7ff837a6a0639fd75e4ed92fdb9eb1,42,pelos/por
2ac0aad463cf10c1f359f1678c1f38f2,75,cenoura/cenoura
2a589f70964d7ee8bf335eaed69cbc2e,75,bolo/bolo
e2d83347907f044f78e08aa3c2e3fa9d,75,massa/massa
a41105356f326ae1a5d1d499f798d4e4,75,bife/bife
70e79ed0b304a22a9b51cc3f26c36d73,51,minha/meu
43b3d7f98b6c73ee14a566a0300171a6,55,com/com
ed6bd235cb1420baeb7c4e73a6b4ad86,8,falo/falar
5e580dce57b5b52541e4d9a865fb2a36,43,<*sf>/meia
26133676f75f829992c823dd7402f9a3,12,<*sf>/castanho
17f747437aee974b58f0d8175fa700db,64,pato/pato
a2c4248af2741dd931b8f0364754a721,69,uva/uva
c7915410a9cff730ffe8e8d56a78df22,42,os/o
7493f076a0cb57815f03748aee58a64c,1,bebem/beber
5fc16736d9679de18b8293507d707bb1,72,formiga/formiga
9c55d3d02ef15b5dcf90a69286a6dab0,74,borboleta/borboleta
04f05b85448352c4f4175d93fb3e6470,64,inseto/inseto
